Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE
Malta,European Region of WHO,South West Europe,2010,18,5/3/2010,5/9/2010,,,,,,,,,,,,,,,No Report
Malta,European Region of WHO,South West Europe,2010,19,5/10/2010,5/16/2010,,,,,,,,,,,,,,,No Report
Malta,European Region of WHO,South West Europe,2010,20,5/17/2010,5/23/2010,,,,,,,,,,,,,,,No Report
Malta,European Region of WHO,South West Europe,2010,21,5/24/2010,5/30/2010,,,,,,,,,,,,,,,No Report
Malta,European Region of WHO,South West Europe,2010,22,5/31/2010,6/6/2010,,,,,,,,,,,,,,,No Report
Malta,European Region of WHO,South West Europe,2010,23,6/7/2010,6/13/2010,,,,,,,,,,,,,,,No Report
Malta,European Region of WHO,South West Europe,2010,24,6/14/2010,6/20/2010,,,,,,,,,,,,,,,No Report
Malta,European Region of WHO,South West Europe,2010,25,6/21/2010,6/27/2010,,,,,,,,,,,,,,,No Report
Malta,European Region of WHO,South West Europe,2010,26,6/28/2010,7/4/2010,,,,,,,,,,,,,,,No Report
Malta,European Region of WHO,South West Europe,2010,27,7/5/2010,7/11/2010,,,,,,,,,,,,,,,No Report
Malta,European Region of WHO,South West Europe,2010,28,7/12/2010,7/18/2010,,,,,,,,,,,,,,,No Report
Malta,European Region of WHO,South West Europe,2010,29,7/19/2010,7/25/2010,,,,,,,,,,,,,,,No Report
Malta,European Region of WHO,South West Europe,2010,30,7/26/2010,8/1/2010,,,,,,,,,,,,,,,No Report
Malta,European Region of WHO,South West Europe,2010,31,8/2/2010,8/8/2010,,,,,,,,,,,,,,,No Report
Malta,European Region of WHO,South West Europe,2010,32,8/9/2010,8/15/2010,,,,,,,,,,,,,,,No Report
Malta,European Region of WHO,South West Europe,2010,33,8/16/2010,8/22/2010,,,,,,,,,,,,,,,No Report
Malta,European Region of WHO,South West Europe,2010,34,8/23/2010,8/29/2010,,,,,,,,,,,,,,,No Report
Malta,European Region of WHO,South West Europe,2010,35,8/30/2010,9/5/2010,,,,,,,,,,,,,,,No Report
Malta,European Region of WHO,South West Europe,2010,36,9/6/2010,9/12/2010,,,,,,,,,,,,,,,No Report
Malta,European Region of WHO,South West Europe,2010,37,9/13/2010,9/19/2010,,,,,,,,,,,,,,,No Report
Malta,European Region of WHO,South West Europe,2010,38,9/20/2010,9/26/2010,,,,,,,,,,,,,,,No Report
Malta,European Region of WHO,South West Europe,2010,39,9/27/2010,10/3/2010,,,,,,,,,,,,,,,No Report
Malta,European Region of WHO,South West Europe,2010,40,10/4/2010,10/10/2010,,,,,,,,,,,,,,,No Report
Malta,European Region of WHO,South West Europe,2010,41,10/11/2010,10/17/2010,,,,,,,,,,,,,,,No Report
Malta,European Region of WHO,South West Europe,2010,42,10/18/2010,10/24/2010,,,,,,,,,,,,,,,No Report
Malta,European Region of WHO,South West Europe,2010,43,10/25/2010,10/31/2010,,,,,,,,,,,,,,,No Report
Malta,European Region of WHO,South West Europe,2010,44,11/1/2010,11/7/2010,,,,,,,,,,,,,,,No Report
Malta,European Region of WHO,South West Europe,2010,45,11/8/2010,11/14/2010,,,,,,,,,,,,,,,No Report
Malta,European Region of WHO,South West Europe,2010,46,11/15/2010,11/21/2010,,,,,,,,,,,,,,,No Report
Malta,European Region of WHO,South West Europe,2010,47,11/22/2010,11/28/2010,,,,,,,,,,,,,,,No Report
Malta,European Region of WHO,South West Europe,2010,48,11/29/2010,12/5/2010,,,,,,,,,,,,,,,No Report
Malta,European Region of WHO,South West Europe,2010,49,12/6/2010,12/12/2010,,,,,,,,,,,,,,,No Report
Malta,European Region of WHO,South West Europe,2010,50,12/13/2010,12/19/2010,,26,0,2,0,,0,2,0,0,0,0,2,,Local Outbreak
Malta,European Region of WHO,South West Europe,2010,51,12/20/2010,12/26/2010,,48,0,12,0,,0,12,0,0,1,1,13,,Local Outbreak
Malta,European Region of WHO,South West Europe,2010,52,12/27/2010,1/2/2011,,87,0,22,0,,6,28,0,0,0,0,28,,Local Outbreak
Malta,European Region of WHO,South West Europe,2011,1,1/3/2011,1/9/2011,,96,0,10,0,,2,12,0,0,1,1,13,,Local Outbreak
Malta,European Region of WHO,South West Europe,2011,2,1/10/2011,1/16/2011,,97,0,13,0,,4,17,0,0,0,0,17,,Local Outbreak
Malta,European Region of WHO,South West Europe,2011,3,1/17/2011,1/23/2011,,69,0,5,0,,0,5,0,0,1,1,6,,Local Outbreak
Malta,European Region of WHO,South West Europe,2011,4,1/24/2011,1/30/2011,,55,0,7,0,,2,9,0,0,1,1,10,,Local Outbreak
Malta,European Region of WHO,South West Europe,2011,5,1/31/2011,2/6/2011,,55,0,5,0,,2,7,0,0,0,0,7,,No Report
Malta,European Region of WHO,South West Europe,2011,6,2/7/2011,2/13/2011,,86,0,4,0,,2,6,0,0,6,6,12,,Local Outbreak
Malta,European Region of WHO,South West Europe,2011,7,2/14/2011,2/20/2011,,43,0,0,0,,0,0,0,0,2,2,2,,Sporadic
Malta,European Region of WHO,South West Europe,2011,8,2/21/2011,2/27/2011,,18,0,2,0,,0,2,0,0,2,2,4,,Sporadic
Malta,European Region of WHO,South West Europe,2011,9,2/28/2011,3/6/2011,,9,0,1,0,,0,1,0,0,0,0,1,,Sporadic
Malta,European Region of WHO,South West Europe,2011,10,3/7/2011,3/13/2011,,55,0,1,0,,0,1,0,0,0,0,1,,Sporadic
Malta,European Region of WHO,South West Europe,2011,11,3/14/2011,3/20/2011,,21,0,0,0,,0,0,0,0,3,3,3,,Sporadic
Malta,European Region of WHO,South West Europe,2011,12,3/21/2011,3/27/2011,,27,0,0,0,,0,0,0,0,3,3,3,,Sporadic
Malta,European Region of WHO,South West Europe,2011,13,3/28/2011,4/3/2011,,23,0,0,0,,0,0,0,0,0,0,0,,Sporadic
Malta,European Region of WHO,South West Europe,2011,14,4/4/2011,4/10/2011,,11,0,0,0,,0,0,0,0,0,0,0,,Sporadic
Malta,European Region of WHO,South West Europe,2011,15,4/11/2011,4/17/2011,,7,0,0,0,,0,0,0,0,0,0,0,,No Report
Malta,European Region of WHO,South West Europe,2011,16,4/18/2011,4/24/2011,,10,0,0,0,,0,0,0,0,0,0,0,,Sporadic
Malta,European Region of WHO,South West Europe,2011,17,4/25/2011,5/1/2011,,0,0,0,0,,0,0,0,0,0,0,0,,Sporadic
Malta,European Region of WHO,South West Europe,2011,18,5/2/2011,5/8/2011,,0,0,0,0,,0,0,0,0,0,0,0,,Sporadic
Malta,European Region of WHO,South West Europe,2011,19,5/9/2011,5/15/2011,,,,,,,,,,,,,,,No Report
Malta,European Region of WHO,South West Europe,2011,20,5/16/2011,5/22/2011,,,,,,,,,,,,,,,No Report
Malta,European Region of WHO,South West Europe,2011,21,5/23/2011,5/29/2011,,,,,,,,,,,,,,,No Report
Malta,European Region of WHO,South West Europe,2011,22,5/30/2011,6/5/2011,,,,,,,,,,,,,,,No Report
Malta,European Region of WHO,South West Europe,2011,23,6/6/2011,6/12/2011,,,,,,,,,,,,,,,No Report
Malta,European Region of WHO,South West Europe,2011,24,6/13/2011,6/19/2011,,,,,,,,,,,,,,,No Report
Malta,European Region of WHO,South West Europe,2011,25,6/20/2011,6/26/2011,,,,,,,,,,,,,,,No Report
Malta,European Region of WHO,South West Europe,2011,26,6/27/2011,7/3/2011,,,,,,,,,,,,,,,No Report
Malta,European Region of WHO,South West Europe,2011,27,7/4/2011,7/10/2011,,,,,,,,,,,,,,,No Report
Malta,European Region of WHO,South West Europe,2011,28,7/11/2011,7/17/2011,,,,,,,,,,,,,,,No Report
Malta,European Region of WHO,South West Europe,2011,29,7/18/2011,7/24/2011,,,,,,,,,,,,,,,No Report
Malta,European Region of WHO,South West Europe,2011,30,7/25/2011,7/31/2011,,,,,,,,,,,,,,,No Report
Malta,European Region of WHO,South West Europe,2011,31,8/1/2011,8/7/2011,,,,,,,,,,,,,,,No Report
Malta,European Region of WHO,South West Europe,2011,32,8/8/2011,8/14/2011,,,,,,,,,,,,,,,No Report
Malta,European Region of WHO,South West Europe,2011,33,8/15/2011,8/21/2011,,,,,,,,,,,,,,,No Report
Malta,European Region of WHO,South West Europe,2011,34,8/22/2011,8/28/2011,,,,,,,,,,,,,,,No Report
Malta,European Region of WHO,South West Europe,2011,35,8/29/2011,9/4/2011,,,,,,,,,,,,,,,No Report
Malta,European Region of WHO,South West Europe,2011,36,9/5/2011,9/11/2011,,,,,,,,,,,,,,,No Report
Malta,European Region of WHO,South West Europe,2011,37,9/12/2011,9/18/2011,,,,,,,,,,,,,,,No Report
Malta,European Region of WHO,South West Europe,2011,38,9/19/2011,9/25/2011,,,,,,,,,,,,,,,No Report
Malta,European Region of WHO,South West Europe,2011,39,9/26/2011,10/2/2011,,,,,,,,,,,,,,,No Report
Malta,European Region of WHO,South West Europe,2011,40,10/3/2011,10/9/2011,,0,0,0,0,,0,0,0,0,0,0,0,,No Report
Malta,European Region of WHO,South West Europe,2011,41,10/10/2011,10/16/2011,,0,0,0,0,,0,0,0,0,0,0,0,,No Report
Malta,European Region of WHO,South West Europe,2011,42,10/17/2011,10/23/2011,,7,0,0,0,,0,0,0,0,0,0,0,,No Report
Malta,European Region of WHO,South West Europe,2011,43,10/24/2011,10/30/2011,,3,0,0,0,,0,0,0,0,0,0,0,,No Report
Malta,European Region of WHO,South West Europe,2011,44,10/31/2011,11/6/2011,,0,0,0,0,,0,0,0,0,0,0,0,,No Report
Malta,European Region of WHO,South West Europe,2011,45,11/7/2011,11/13/2011,,3,0,0,0,,0,0,0,0,0,0,0,,No Report
Malta,European Region of WHO,South West Europe,2011,46,11/14/2011,11/20/2011,,4,0,0,0,,0,0,0,0,0,0,0,,No Activity
Malta,European Region of WHO,South West Europe,2011,47,11/21/2011,11/27/2011,,6,0,0,0,,0,0,0,0,0,0,0,,No Activity
Malta,European Region of WHO,South West Europe,2011,48,11/28/2011,12/4/2011,,0,0,0,0,,0,0,0,0,0,0,0,,No Activity
Malta,European Region of WHO,South West Europe,2011,49,12/5/2011,12/11/2011,,14,0,0,0,,0,0,0,0,0,0,0,,No Report
Malta,European Region of WHO,South West Europe,2011,50,12/12/2011,12/18/2011,,5,0,0,0,,0,0,0,0,0,0,0,,No Activity
Malta,European Region of WHO,South West Europe,2011,51,12/19/2011,12/25/2011,,0,0,0,0,,0,0,0,0,0,0,0,,Local Outbreak
Malta,European Region of WHO,South West Europe,2011,52,12/26/2011,1/1/2012,,14,0,0,0,,0,0,0,0,0,0,0,,Local Outbreak
Malta,European Region of WHO,South West Europe,2012,1,1/2/2012,1/8/2012,,12,0,0,0,,1,1,0,0,0,0,1,,Local Outbreak
Malta,European Region of WHO,South West Europe,2012,2,1/9/2012,1/15/2012,,18,0,0,0,,0,0,0,0,0,0,0,,No Report
Malta,European Region of WHO,South West Europe,2012,3,1/16/2012,1/22/2012,,20,0,0,0,,0,0,0,0,0,0,0,,Local Outbreak
Malta,European Region of WHO,South West Europe,2012,4,1/23/2012,1/29/2012,,4,0,0,0,,0,0,0,0,0,0,0,,Local Outbreak
Malta,European Region of WHO,South West Europe,2012,5,1/30/2012,2/5/2012,,20,0,0,0,,2,2,0,0,0,0,2,,Local Outbreak
Malta,European Region of WHO,South West Europe,2012,6,2/6/2012,2/12/2012,,10,0,0,0,,1,1,0,0,0,0,1,,Local Outbreak
Malta,European Region of WHO,South West Europe,2012,7,2/13/2012,2/19/2012,,14,0,0,0,,0,0,0,0,0,0,0,,Local Outbreak
Malta,European Region of WHO,South West Europe,2012,8,2/20/2012,2/26/2012,,,,,,,,,,,,,,,No Report
Malta,European Region of WHO,South West Europe,2012,9,2/27/2012,3/4/2012,,,,,,,,,,,,,,,No Report
Malta,European Region of WHO,South West Europe,2012,10,3/5/2012,3/11/2012,,,,,,,,,,,,,,,No Report
Malta,European Region of WHO,South West Europe,2012,11,3/12/2012,3/18/2012,,,,,,,,,,,,,,,No Report
Malta,European Region of WHO,South West Europe,2012,12,3/19/2012,3/25/2012,,,,,,,,,,,,,,,No Report
Malta,European Region of WHO,South West Europe,2012,13,3/26/2012,4/1/2012,,,,,,,,,,,,,,,No Report
Malta,European Region of WHO,South West Europe,2012,14,4/2/2012,4/8/2012,,,,,,,,,,,,,,,No Report
Malta,European Region of WHO,South West Europe,2012,15,4/9/2012,4/15/2012,,,,,,,,,,,,,,,No Report
Malta,European Region of WHO,South West Europe,2012,16,4/16/2012,4/22/2012,,,,,,,,,,,,,,,No Report
Malta,European Region of WHO,South West Europe,2012,17,4/23/2012,4/29/2012,,,,,,,,,,,,,,,No Report
Malta,European Region of WHO,South West Europe,2012,18,4/30/2012,5/6/2012,,,,,,,,,,,,,,,No Report
Malta,European Region of WHO,South West Europe,2012,19,5/7/2012,5/13/2012,,,,,,,,,,,,,,,No Report
Malta,European Region of WHO,South West Europe,2012,20,5/14/2012,5/20/2012,,,,,,,,,,,,,,,No Report
Malta,European Region of WHO,South West Europe,2012,21,5/21/2012,5/27/2012,,,,,,,,,,,,,,,No Report
Malta,European Region of WHO,South West Europe,2012,22,5/28/2012,6/3/2012,,,,,,,,,,,,,,,No Report
Malta,European Region of WHO,South West Europe,2012,23,6/4/2012,6/10/2012,,,,,,,,,,,,,,,No Report
Malta,European Region of WHO,South West Europe,2012,24,6/11/2012,6/17/2012,,,,,,,,,,,,,,,No Report
Malta,European Region of WHO,South West Europe,2012,25,6/18/2012,6/24/2012,,,,,,,,,,,,,,,No Report
Malta,European Region of WHO,South West Europe,2012,26,6/25/2012,7/1/2012,,,,,,,,,,,,,,,No Report
Malta,European Region of WHO,South West Europe,2012,27,7/2/2012,7/8/2012,,,,,,,,,,,,,,,No Report
Malta,European Region of WHO,South West Europe,2012,28,7/9/2012,7/15/2012,,,,,,,,,,,,,,,No Report
Malta,European Region of WHO,South West Europe,2012,29,7/16/2012,7/22/2012,,,,,,,,,,,,,,,No Report
Malta,European Region of WHO,South West Europe,2012,30,7/23/2012,7/29/2012,,,,,,,,,,,,,,,No Report
Malta,European Region of WHO,South West Europe,2012,31,7/30/2012,8/5/2012,,,,,,,,,,,,,,,No Report
Malta,European Region of WHO,South West Europe,2012,32,8/6/2012,8/12/2012,,,,,,,,,,,,,,,No Report
Malta,European Region of WHO,South West Europe,2012,33,8/13/2012,8/19/2012,,,,,,,,,,,,,,,No Report
Malta,European Region of WHO,South West Europe,2012,34,8/20/2012,8/26/2012,,,,,,,,,,,,,,,No Report
Malta,European Region of WHO,South West Europe,2012,35,8/27/2012,9/2/2012,,,,,,,,,,,,,,,No Report
Malta,European Region of WHO,South West Europe,2012,36,9/3/2012,9/9/2012,,,,,,,,,,,,,,,No Report
Malta,European Region of WHO,South West Europe,2012,37,9/10/2012,9/16/2012,,,,,,,,,,,,,,,No Report
Malta,European Region of WHO,South West Europe,2012,38,9/17/2012,9/23/2012,,,,,,,,,,,,,,,No Report
Malta,European Region of WHO,South West Europe,2012,39,9/24/2012,9/30/2012,,,,,,,,,,,,,,,No Report
Malta,European Region of WHO,South West Europe,2012,40,10/1/2012,10/7/2012,,42,0,0,0,,1,1,0,0,1,1,2,,No Report
Malta,European Region of WHO,South West Europe,2012,41,10/8/2012,10/14/2012,,8,0,0,0,,0,0,0,0,0,0,0,,Local Outbreak
Malta,European Region of WHO,South West Europe,2012,42,10/15/2012,10/21/2012,,,,,,,,,,,,,,,No Report
Malta,European Region of WHO,South West Europe,2012,43,10/22/2012,10/28/2012,,19,0,0,0,,0,0,0,0,0,0,0,,No Report
Malta,European Region of WHO,South West Europe,2012,44,10/29/2012,11/4/2012,,16,0,0,0,,1,1,0,0,4,4,5,,No Report
Malta,European Region of WHO,South West Europe,2012,45,11/5/2012,11/11/2012,,,,,,,,,,,,,,,No Report
Malta,European Region of WHO,South West Europe,2012,46,11/12/2012,11/18/2012,,,,,,,,,,,,,,,No Report
Malta,European Region of WHO,South West Europe,2012,47,11/19/2012,11/25/2012,,10,0,0,0,,1,1,0,0,4,4,5,,Local Outbreak
Malta,European Region of WHO,South West Europe,2012,48,11/26/2012,12/2/2012,,14,0,0,0,,2,2,0,0,4,4,6,,Local Outbreak
Malta,European Region of WHO,South West Europe,2012,49,12/3/2012,12/9/2012,,9,0,0,0,,0,0,0,0,2,2,2,,No Report
Malta,European Region of WHO,South West Europe,2012,50,12/10/2012,12/16/2012,,20,0,10,0,,0,10,0,0,6,6,16,,No Report
Malta,European Region of WHO,South West Europe,2012,51,12/17/2012,12/23/2012,,17,0,16,0,,0,16,0,0,0,0,16,,Local Outbreak
Malta,European Region of WHO,South West Europe,2012,52,12/24/2012,12/30/2012,,14,0,8,0,,0,8,0,0,0,0,8,,Local Outbreak
Malta,European Region of WHO,South West Europe,2013,1,12/31/2012,1/6/2013,,12,0,3,0,,0,3,0,0,2,2,5,,Local Outbreak
Malta,European Region of WHO,South West Europe,2013,2,1/7/2013,1/13/2013,,17,0,12,0,,0,12,0,0,12,12,24,,Local Outbreak
Malta,European Region of WHO,South West Europe,2013,3,1/14/2013,1/20/2013,,25,0,25,0,,0,25,0,0,0,0,25,,Local Outbreak
Malta,European Region of WHO,South West Europe,2013,4,1/21/2013,1/27/2013,,41,0,0,0,,39,39,0,0,6,6,45,,Local Outbreak
Malta,European Region of WHO,South West Europe,2013,5,1/28/2013,2/3/2013,,77,0,0,0,,59,59,0,0,11,11,70,,Local Outbreak
Malta,European Region of WHO,South West Europe,2013,6,2/4/2013,2/10/2013,,48,0,0,0,,35,35,0,0,11,11,46,,Local Outbreak
Malta,European Region of WHO,South West Europe,2013,7,2/11/2013,2/17/2013,,38,0,0,0,,5,5,0,0,8,8,13,,Local Outbreak
Malta,European Region of WHO,South West Europe,2013,8,2/18/2013,2/24/2013,,11,0,0,0,,1,1,0,0,4,4,5,,Local Outbreak
Malta,European Region of WHO,South West Europe,2013,9,2/25/2013,3/3/2013,,67,0,0,0,,10,10,0,0,14,14,24,,Local Outbreak
Malta,European Region of WHO,South West Europe,2013,10,3/4/2013,3/10/2013,,22,0,0,0,,0,0,0,0,4,4,4,,Local Outbreak
Malta,European Region of WHO,South West Europe,2013,11,3/11/2013,3/17/2013,,36,0,0,0,,7,7,0,0,2,2,9,,Local Outbreak
Malta,European Region of WHO,South West Europe,2013,12,3/18/2013,3/24/2013,,0,0,0,0,,0,0,0,0,0,0,0,,Local Outbreak
Malta,European Region of WHO,South West Europe,2013,13,3/25/2013,3/31/2013,,0,0,0,0,,0,0,0,0,0,0,0,,Local Outbreak
Malta,European Region of WHO,South West Europe,2013,14,4/1/2013,4/7/2013,,19,0,0,0,,2,2,0,0,6,6,8,,Local Outbreak
Malta,European Region of WHO,South West Europe,2013,15,4/8/2013,4/14/2013,,24,0,3,0,,3,6,0,0,5,5,11,,Local Outbreak
Malta,European Region of WHO,South West Europe,2013,16,4/15/2013,4/21/2013,,12,0,0,0,,0,0,0,0,0,0,0,,Local Outbreak
Malta,European Region of WHO,South West Europe,2013,17,4/22/2013,4/28/2013,,12,0,0,0,,0,0,0,0,1,1,1,,Local Outbreak
Malta,European Region of WHO,South West Europe,2013,18,4/29/2013,5/5/2013,,22,0,0,0,,0,0,0,0,0,0,0,,Local Outbreak
Malta,European Region of WHO,South West Europe,2013,19,5/6/2013,5/12/2013,,19,0,1,0,,0,1,0,0,1,1,2,,Local Outbreak
Malta,European Region of WHO,South West Europe,2013,20,5/13/2013,5/19/2013,,8,0,0,0,,0,0,0,0,3,3,3,,Local Outbreak
Malta,European Region of WHO,South West Europe,2013,21,5/20/2013,5/26/2013,,12,0,0,0,,0,0,0,0,0,0,0,,Local Outbreak
Malta,European Region of WHO,South West Europe,2013,22,5/27/2013,6/2/2013,,12,0,0,0,,0,0,0,0,0,0,0,,Local Outbreak
Malta,European Region of WHO,South West Europe,2013,23,6/3/2013,6/9/2013,,0,0,0,0,,0,0,0,0,0,0,0,,Local Outbreak
Malta,European Region of WHO,South West Europe,2013,24,6/10/2013,6/16/2013,,0,0,0,0,,0,0,0,0,0,0,0,,Local Outbreak
Malta,European Region of WHO,South West Europe,2013,25,6/17/2013,6/23/2013,,10,0,0,0,,0,0,0,0,0,0,0,,Local Outbreak
Malta,European Region of WHO,South West Europe,2013,26,6/24/2013,6/30/2013,,11,0,0,1,,0,1,0,0,0,0,1,,Local Outbreak
Malta,European Region of WHO,South West Europe,2013,27,7/1/2013,7/7/2013,,12,0,0,0,,0,0,0,0,0,0,0,,Local Outbreak
Malta,European Region of WHO,South West Europe,2013,28,7/8/2013,7/14/2013,,0,0,0,0,,0,0,0,0,0,0,0,,Local Outbreak
Malta,European Region of WHO,South West Europe,2013,29,7/15/2013,7/21/2013,,12,0,0,0,,1,1,0,0,0,0,1,,Local Outbreak
Malta,European Region of WHO,South West Europe,2013,30,7/22/2013,7/28/2013,,10,0,0,0,,0,0,0,0,0,0,0,,No Report
Malta,European Region of WHO,South West Europe,2013,31,7/29/2013,8/4/2013,,0,0,0,0,,0,0,0,0,0,0,0,,Local Outbreak
Malta,European Region of WHO,South West Europe,2013,32,8/5/2013,8/11/2013,,20,0,0,0,,0,0,0,0,0,0,0,,Local Outbreak
Malta,European Region of WHO,South West Europe,2013,33,8/12/2013,8/18/2013,,0,0,0,0,,0,0,0,0,0,0,0,,Local Outbreak
Malta,European Region of WHO,South West Europe,2013,34,8/19/2013,8/25/2013,,9,0,0,0,,0,0,0,0,0,0,0,,Local Outbreak
Malta,European Region of WHO,South West Europe,2013,35,8/26/2013,9/1/2013,,10,0,0,0,,0,0,0,0,0,0,0,,Local Outbreak
Malta,European Region of WHO,South West Europe,2013,36,9/2/2013,9/8/2013,,0,0,0,0,,0,0,0,0,0,0,0,,Local Outbreak
Malta,European Region of WHO,South West Europe,2013,37,9/9/2013,9/15/2013,,11,0,0,0,,0,0,0,0,0,0,0,,Local Outbreak
Malta,European Region of WHO,South West Europe,2013,38,9/16/2013,9/22/2013,,7,0,0,0,,0,0,0,0,0,0,0,,Local Outbreak
Malta,European Region of WHO,South West Europe,2013,39,9/23/2013,9/29/2013,,6,0,0,0,,0,0,0,0,0,0,0,,Local Outbreak
Malta,European Region of WHO,South West Europe,2013,40,9/30/2013,10/6/2013,,7,0,0,0,,0,0,0,0,0,0,0,,Local Outbreak
Malta,European Region of WHO,South West Europe,2013,41,10/7/2013,10/13/2013,,14,0,0,0,,0,0,0,0,0,0,0,,No Activity
Malta,European Region of WHO,South West Europe,2013,42,10/14/2013,10/20/2013,,11,0,0,0,,0,0,0,0,0,0,0,,No Activity
Malta,European Region of WHO,South West Europe,2013,43,10/21/2013,10/27/2013,,7,0,0,0,,0,0,0,0,0,0,0,,No Activity
Malta,European Region of WHO,South West Europe,2013,44,10/28/2013,11/3/2013,,18,0,0,0,,0,0,0,0,1,1,1,,No Activity
Malta,European Region of WHO,South West Europe,2013,45,11/4/2013,11/10/2013,,11,0,0,0,,0,0,0,0,0,0,0,,No Report
Malta,European Region of WHO,South West Europe,2013,46,11/11/2013,11/17/2013,,10,0,0,0,,0,0,0,0,0,0,0,,No Activity
Malta,European Region of WHO,South West Europe,2013,47,11/18/2013,11/24/2013,,14,0,0,0,,0,0,0,0,0,0,0,,No Activity
Malta,European Region of WHO,South West Europe,2013,48,11/25/2013,12/1/2013,,10,0,0,0,,0,0,0,0,0,0,0,,No Activity
Malta,European Region of WHO,South West Europe,2013,49,12/2/2013,12/8/2013,,23,0,0,0,,0,0,0,0,0,0,0,,No Activity
Malta,European Region of WHO,South West Europe,2013,50,12/9/2013,12/15/2013,,12,0,0,0,,0,0,0,0,0,0,0,,No Activity
