Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE
Luxembourg,European Region of WHO,South West Europe,2009,21,5/18/2009,5/24/2009,,3,0,0,0,,0,0,,,0,0,0,,No Activity
Luxembourg,European Region of WHO,South West Europe,2009,22,5/25/2009,5/31/2009,,1,0,0,0,,0,0,,,0,0,0,,No Activity
Luxembourg,European Region of WHO,South West Europe,2009,23,6/1/2009,6/7/2009,,11,0,0,0,,0,0,,,0,0,0,,Sporadic
Luxembourg,European Region of WHO,South West Europe,2009,24,6/8/2009,6/14/2009,,9,0,0,0,,0,0,0,0,0,0,0,,No Activity
Luxembourg,European Region of WHO,South West Europe,2009,25,6/15/2009,6/21/2009,,18,0,0,0,,0,0,0,0,0,0,0,,Sporadic
Luxembourg,European Region of WHO,South West Europe,2009,26,6/22/2009,6/28/2009,,44,0,1,0,,0,1,0,0,0,0,1,,Sporadic
Luxembourg,European Region of WHO,South West Europe,2009,27,6/29/2009,7/5/2009,,35,0,2,0,,0,2,,,0,0,2,,Sporadic
Luxembourg,European Region of WHO,South West Europe,2009,28,7/6/2009,7/12/2009,,82,0,8,0,,0,8,0,0,1,1,9,,Sporadic
Luxembourg,European Region of WHO,South West Europe,2009,29,7/13/2009,7/19/2009,,158,0,15,0,,0,15,0,0,0,0,15,,Sporadic
Luxembourg,European Region of WHO,South West Europe,2009,30,7/20/2009,7/26/2009,,154,0,16,0,,0,16,0,0,0,0,16,,Sporadic
Luxembourg,European Region of WHO,South West Europe,2009,31,7/27/2009,8/2/2009,,141,0,14,0,,0,14,0,0,0,0,14,,Local Outbreak
Luxembourg,European Region of WHO,South West Europe,2009,32,8/3/2009,8/9/2009,,158,0,25,0,,0,25,0,0,0,0,25,,Local Outbreak
Luxembourg,European Region of WHO,South West Europe,2009,33,8/10/2009,8/16/2009,,151,0,17,0,,0,17,0,0,0,0,17,,Local Outbreak
Luxembourg,European Region of WHO,South West Europe,2009,34,8/17/2009,8/23/2009,,111,0,7,0,,0,7,0,0,0,0,7,,Sporadic
Luxembourg,European Region of WHO,South West Europe,2009,35,8/24/2009,8/30/2009,,137,0,13,0,,0,13,0,0,0,0,13,,Sporadic
Luxembourg,European Region of WHO,South West Europe,2009,36,8/31/2009,9/6/2009,,136,0,27,0,,0,27,0,0,0,0,27,,Sporadic
Luxembourg,European Region of WHO,South West Europe,2009,37,9/7/2009,9/13/2009,,160,0,18,0,,0,18,0,0,0,0,18,,Local Outbreak
Luxembourg,European Region of WHO,South West Europe,2009,38,9/14/2009,9/20/2009,,262,0,43,0,,0,43,0,0,0,0,43,,Sporadic
Luxembourg,European Region of WHO,South West Europe,2009,39,9/21/2009,9/27/2009,,367,0,72,0,,0,72,0,0,0,0,72,,Widespread Outbreak
Luxembourg,European Region of WHO,South West Europe,2009,40,9/28/2009,10/4/2009,,420,0,75,0,,0,75,0,0,0,0,75,,Widespread Outbreak
Luxembourg,European Region of WHO,South West Europe,2009,41,10/5/2009,10/11/2009,,449,0,96,0,,0,96,0,0,0,0,96,,Widespread Outbreak
Luxembourg,European Region of WHO,South West Europe,2009,42,10/12/2009,10/18/2009,,305,0,83,0,,0,83,0,0,0,0,83,,Widespread Outbreak
Luxembourg,European Region of WHO,South West Europe,2009,43,10/19/2009,10/25/2009,,305,0,50,0,,0,50,0,0,0,0,50,,Widespread Outbreak
Luxembourg,European Region of WHO,South West Europe,2009,44,10/26/2009,11/1/2009,,452,0,185,0,,0,185,0,0,0,0,185,,Widespread Outbreak
Luxembourg,European Region of WHO,South West Europe,2009,45,11/2/2009,11/8/2009,,274,0,112,0,,0,112,0,0,0,0,112,,Widespread Outbreak
Luxembourg,European Region of WHO,South West Europe,2009,46,11/9/2009,11/15/2009,,238,0,60,0,,0,60,0,0,0,0,60,,Widespread Outbreak
Luxembourg,European Region of WHO,South West Europe,2009,47,11/16/2009,11/22/2009,,240,0,78,0,,0,78,0,0,0,0,78,,Widespread Outbreak
Luxembourg,European Region of WHO,South West Europe,2009,48,11/23/2009,11/29/2009,,225,0,64,0,,0,64,0,0,0,0,64,,Widespread Outbreak
Luxembourg,European Region of WHO,South West Europe,2009,49,11/30/2009,12/6/2009,,198,0,45,0,,0,45,0,0,1,1,46,,Widespread Outbreak
Luxembourg,European Region of WHO,South West Europe,2009,50,12/7/2009,12/13/2009,,,,,,,,,,,,,,,No Report
Luxembourg,European Region of WHO,South West Europe,2009,51,12/14/2009,12/20/2009,,135,0,36,0,,0,36,0,0,1,1,37,,Widespread Outbreak
Luxembourg,European Region of WHO,South West Europe,2009,52,12/21/2009,12/27/2009,,58,0,18,0,,0,18,0,0,0,0,18,,Regional Outbreak
Luxembourg,European Region of WHO,South West Europe,2009,53,12/28/2009,1/3/2010,,,,,,,,,,,,,,,No Report
Luxembourg,European Region of WHO,South West Europe,2010,1,1/4/2010,1/10/2010,,60,0,12,0,,0,12,0,0,0,0,12,,Sporadic
Luxembourg,European Region of WHO,South West Europe,2010,2,1/11/2010,1/17/2010,,,,,,,,,,,,,,,No Report
Luxembourg,European Region of WHO,South West Europe,2010,3,1/18/2010,1/24/2010,,,,,,,,,,,,,,,No Report
Luxembourg,European Region of WHO,South West Europe,2010,4,1/25/2010,1/31/2010,,,,,,,,,,,,,,,No Report
Luxembourg,European Region of WHO,South West Europe,2010,5,2/1/2010,2/7/2010,,,,,,,,,,,,,,,No Report
Luxembourg,European Region of WHO,South West Europe,2010,6,2/8/2010,2/14/2010,,,,,,,,,,,,,,,No Report
Luxembourg,European Region of WHO,South West Europe,2010,7,2/15/2010,2/21/2010,,,,,,,,,,,,,,,No Report
Luxembourg,European Region of WHO,South West Europe,2010,8,2/22/2010,2/28/2010,,,,,,,,,,,,,,,No Report
Luxembourg,European Region of WHO,South West Europe,2010,9,3/1/2010,3/7/2010,,23,0,0,0,,0,0,0,0,0,0,0,,No Activity
Luxembourg,European Region of WHO,South West Europe,2010,10,3/8/2010,3/14/2010,,23,0,1,0,,0,1,0,0,0,0,1,,Sporadic
Luxembourg,European Region of WHO,South West Europe,2010,11,3/15/2010,3/21/2010,,10,0,1,0,,0,1,0,0,0,0,1,,Sporadic
Luxembourg,European Region of WHO,South West Europe,2010,12,3/22/2010,3/28/2010,,14,0,2,0,,0,2,0,0,0,0,2,,Sporadic
Luxembourg,European Region of WHO,South West Europe,2010,13,3/29/2010,4/4/2010,,6,0,0,0,,0,0,0,0,0,0,0,,No Activity
Luxembourg,European Region of WHO,South West Europe,2010,14,4/5/2010,4/11/2010,,,,,,,,,,,,,,,No Report
Luxembourg,European Region of WHO,South West Europe,2010,15,4/12/2010,4/18/2010,,8,0,2,0,,0,2,0,0,0,0,2,,Sporadic
Luxembourg,European Region of WHO,South West Europe,2010,16,4/19/2010,4/25/2010,,6,0,0,0,,0,0,0,0,0,0,0,,No Activity
Luxembourg,European Region of WHO,South West Europe,2010,17,4/26/2010,5/2/2010,,6,0,0,0,,0,0,0,0,1,1,1,,Sporadic
Luxembourg,European Region of WHO,South West Europe,2010,18,5/3/2010,5/9/2010,,6,0,0,0,,0,0,0,0,0,0,0,,No Activity
Luxembourg,European Region of WHO,South West Europe,2010,19,5/10/2010,5/16/2010,,3,0,1,0,,0,1,0,0,0,0,1,,Sporadic
Luxembourg,European Region of WHO,South West Europe,2010,20,5/17/2010,5/23/2010,,,,,,,,,,,,,,,No Report
Luxembourg,European Region of WHO,South West Europe,2010,21,5/24/2010,5/30/2010,,,,,,,,,,,,,,,No Report
Luxembourg,European Region of WHO,South West Europe,2010,22,5/31/2010,6/6/2010,,,,,,,,,,,,,,,No Report
Luxembourg,European Region of WHO,South West Europe,2010,23,6/7/2010,6/13/2010,,,,,,,,,,,,,,,No Report
Luxembourg,European Region of WHO,South West Europe,2010,24,6/14/2010,6/20/2010,,,,,,,,,,,,,,,No Report
Luxembourg,European Region of WHO,South West Europe,2010,25,6/21/2010,6/27/2010,,,,,,,,,,,,,,,No Report
Luxembourg,European Region of WHO,South West Europe,2010,26,6/28/2010,7/4/2010,,,,,,,,,,,,,,,No Report
Luxembourg,European Region of WHO,South West Europe,2010,27,7/5/2010,7/11/2010,,,,,,,,,,,,,,,No Report
Luxembourg,European Region of WHO,South West Europe,2010,28,7/12/2010,7/18/2010,,,,,,,,,,,,,,,No Report
Luxembourg,European Region of WHO,South West Europe,2010,29,7/19/2010,7/25/2010,,,,,,,,,,,,,,,No Report
Luxembourg,European Region of WHO,South West Europe,2010,30,7/26/2010,8/1/2010,,,,,,,,,,,,,,,No Report
Luxembourg,European Region of WHO,South West Europe,2010,31,8/2/2010,8/8/2010,,,,,,,,,,,,,,,No Report
Luxembourg,European Region of WHO,South West Europe,2010,32,8/9/2010,8/15/2010,,,,,,,,,,,,,,,No Report
Luxembourg,European Region of WHO,South West Europe,2010,33,8/16/2010,8/22/2010,,,,,,,,,,,,,,,No Report
Luxembourg,European Region of WHO,South West Europe,2010,34,8/23/2010,8/29/2010,,,,,,,,,,,,,,,No Report
Luxembourg,European Region of WHO,South West Europe,2010,35,8/30/2010,9/5/2010,,,,,,,,,,,,,,,No Report
Luxembourg,European Region of WHO,South West Europe,2010,36,9/6/2010,9/12/2010,,,,,,,,,,,,,,,No Report
Luxembourg,European Region of WHO,South West Europe,2010,37,9/13/2010,9/19/2010,,,,,,,,,,,,,,,No Report
Luxembourg,European Region of WHO,South West Europe,2010,38,9/20/2010,9/26/2010,,,,,,,,,,,,,,,No Report
Luxembourg,European Region of WHO,South West Europe,2010,39,9/27/2010,10/3/2010,,2,0,0,0,,0,0,0,0,0,0,0,,No Report
Luxembourg,European Region of WHO,South West Europe,2010,40,10/4/2010,10/10/2010,,1,0,0,0,,0,0,0,0,0,0,0,,No Activity
Luxembourg,European Region of WHO,South West Europe,2010,41,10/11/2010,10/17/2010,,6,0,0,0,,0,0,0,0,0,0,0,,No Activity
Luxembourg,European Region of WHO,South West Europe,2010,42,10/18/2010,10/24/2010,,3,0,0,0,,0,0,0,0,0,0,0,,No Activity
Luxembourg,European Region of WHO,South West Europe,2010,43,10/25/2010,10/31/2010,,4,0,0,0,,0,0,0,0,0,0,0,,No Activity
Luxembourg,European Region of WHO,South West Europe,2010,44,11/1/2010,11/7/2010,,1,0,0,0,,0,0,0,0,0,0,0,,No Activity
Luxembourg,European Region of WHO,South West Europe,2010,45,11/8/2010,11/14/2010,,1,0,0,0,,0,0,0,0,0,0,0,,No Activity
Luxembourg,European Region of WHO,South West Europe,2010,46,11/15/2010,11/21/2010,,4,0,0,0,,0,0,,,1,1,1,,Sporadic
Luxembourg,European Region of WHO,South West Europe,2010,47,11/22/2010,11/28/2010,,1,0,0,0,,0,0,0,0,0,0,0,,No Activity
Luxembourg,European Region of WHO,South West Europe,2010,48,11/29/2010,12/5/2010,,14,0,1,0,,0,1,0,0,0,0,1,,Sporadic
Luxembourg,European Region of WHO,South West Europe,2010,49,12/6/2010,12/12/2010,,8,0,1,0,,0,1,0,0,1,1,2,,Sporadic
Luxembourg,European Region of WHO,South West Europe,2010,50,12/13/2010,12/19/2010,,19,0,7,0,,0,7,0,0,1,1,8,,Local Outbreak
Luxembourg,European Region of WHO,South West Europe,2010,51,12/20/2010,12/26/2010,,15,0,3,0,,1,4,0,0,2,2,6,,No Report
Luxembourg,European Region of WHO,South West Europe,2010,52,12/27/2010,1/2/2011,,34,0,11,0,,4,15,0,0,3,3,18,,Regional Outbreak
Luxembourg,European Region of WHO,South West Europe,2011,1,1/3/2011,1/9/2011,,64,0,20,0,,4,24,0,0,10,10,34,,Widespread Outbreak
Luxembourg,European Region of WHO,South West Europe,2011,2,1/10/2011,1/16/2011,,90,0,56,0,,15,71,0,0,42,42,113,,Widespread Outbreak
Luxembourg,European Region of WHO,South West Europe,2011,3,1/17/2011,1/23/2011,,148,0,41,0,,6,47,0,0,44,44,91,,Widespread Outbreak
Luxembourg,European Region of WHO,South West Europe,2011,4,1/24/2011,1/30/2011,,162,0,30,0,,14,44,0,0,49,49,93,,Widespread Outbreak
Luxembourg,European Region of WHO,South West Europe,2011,5,1/31/2011,2/6/2011,,187,0,42,0,,9,51,0,0,61,61,112,,Widespread Outbreak
Luxembourg,European Region of WHO,South West Europe,2011,6,2/7/2011,2/13/2011,,154,0,26,0,,6,32,0,0,59,59,91,,Widespread Outbreak
Luxembourg,European Region of WHO,South West Europe,2011,7,2/14/2011,2/20/2011,,84,0,9,0,,6,15,0,0,28,28,43,,No Report
Luxembourg,European Region of WHO,South West Europe,2011,8,2/21/2011,2/27/2011,,45,0,3,0,,4,7,0,0,13,13,20,,No Report
Luxembourg,European Region of WHO,South West Europe,2011,9,2/28/2011,3/6/2011,,37,0,2,0,,4,6,0,0,16,16,22,,Regional Outbreak
Luxembourg,European Region of WHO,South West Europe,2011,10,3/7/2011,3/13/2011,,26,0,0,0,,2,2,0,0,6,6,8,,Sporadic
Luxembourg,European Region of WHO,South West Europe,2011,11,3/14/2011,3/20/2011,,17,0,0,0,,2,2,0,0,1,1,3,,Sporadic
Luxembourg,European Region of WHO,South West Europe,2011,12,3/21/2011,3/27/2011,,11,0,0,0,,0,0,0,0,1,1,1,,Sporadic
Luxembourg,European Region of WHO,South West Europe,2011,13,3/28/2011,4/3/2011,,7,0,0,0,,0,0,0,0,1,1,1,,Sporadic
Luxembourg,European Region of WHO,South West Europe,2011,14,4/4/2011,4/10/2011,,7,0,0,0,,0,0,0,0,0,0,0,,No Activity
Luxembourg,European Region of WHO,South West Europe,2011,15,4/11/2011,4/17/2011,,2,0,0,0,,0,0,0,0,0,0,0,,No Activity
Luxembourg,European Region of WHO,South West Europe,2011,16,4/18/2011,4/24/2011,,1,0,0,0,,0,0,0,0,0,0,0,,No Activity
Luxembourg,European Region of WHO,South West Europe,2011,17,4/25/2011,5/1/2011,,2,0,0,0,,0,0,0,0,0,0,0,,No Activity
Luxembourg,European Region of WHO,South West Europe,2011,18,5/2/2011,5/8/2011,,1,0,0,0,,0,0,0,0,0,0,0,,No Activity
Luxembourg,European Region of WHO,South West Europe,2011,19,5/9/2011,5/15/2011,,,,,,,,,,,,,,,No Report
Luxembourg,European Region of WHO,South West Europe,2011,20,5/16/2011,5/22/2011,,,,,,,,,,,,,,,No Report
Luxembourg,European Region of WHO,South West Europe,2011,21,5/23/2011,5/29/2011,,,,,,,,,,,,,,,No Report
Luxembourg,European Region of WHO,South West Europe,2011,22,5/30/2011,6/5/2011,,,,,,,,,,,,,,,No Report
Luxembourg,European Region of WHO,South West Europe,2011,23,6/6/2011,6/12/2011,,,,,,,,,,,,,,,No Report
Luxembourg,European Region of WHO,South West Europe,2011,24,6/13/2011,6/19/2011,,,,,,,,,,,,,,,No Report
Luxembourg,European Region of WHO,South West Europe,2011,25,6/20/2011,6/26/2011,,,,,,,,,,,,,,,No Report
Luxembourg,European Region of WHO,South West Europe,2011,26,6/27/2011,7/3/2011,,,,,,,,,,,,,,,No Report
Luxembourg,European Region of WHO,South West Europe,2011,27,7/4/2011,7/10/2011,,,,,,,,,,,,,,,No Report
Luxembourg,European Region of WHO,South West Europe,2011,28,7/11/2011,7/17/2011,,,,,,,,,,,,,,,No Report
Luxembourg,European Region of WHO,South West Europe,2011,29,7/18/2011,7/24/2011,,,,,,,,,,,,,,,No Report
Luxembourg,European Region of WHO,South West Europe,2011,30,7/25/2011,7/31/2011,,,,,,,,,,,,,,,No Report
Luxembourg,European Region of WHO,South West Europe,2011,31,8/1/2011,8/7/2011,,,,,,,,,,,,,,,No Report
Luxembourg,European Region of WHO,South West Europe,2011,32,8/8/2011,8/14/2011,,,,,,,,,,,,,,,No Report
Luxembourg,European Region of WHO,South West Europe,2011,33,8/15/2011,8/21/2011,,,,,,,,,,,,,,,No Report
Luxembourg,European Region of WHO,South West Europe,2011,34,8/22/2011,8/28/2011,,,,,,,,,,,,,,,No Report
Luxembourg,European Region of WHO,South West Europe,2011,35,8/29/2011,9/4/2011,,,,,,,,,,,,,,,No Report
Luxembourg,European Region of WHO,South West Europe,2011,36,9/5/2011,9/11/2011,,,,,,,,,,,,,,,No Report
Luxembourg,European Region of WHO,South West Europe,2011,37,9/12/2011,9/18/2011,,,,,,,,,,,,,,,No Report
Luxembourg,European Region of WHO,South West Europe,2011,38,9/19/2011,9/25/2011,,,,,,,,,,,,,,,No Report
Luxembourg,European Region of WHO,South West Europe,2011,39,9/26/2011,10/2/2011,,,,,,,,,,,,,,,No Report
Luxembourg,European Region of WHO,South West Europe,2011,40,10/3/2011,10/9/2011,,1,0,0,0,,0,0,0,0,0,0,0,,No Activity
Luxembourg,European Region of WHO,South West Europe,2011,41,10/10/2011,10/16/2011,,4,0,0,0,,0,0,0,0,0,0,0,,No Activity
Luxembourg,European Region of WHO,South West Europe,2011,42,10/17/2011,10/23/2011,,0,0,0,0,,0,0,0,0,0,0,0,,No Activity
Luxembourg,European Region of WHO,South West Europe,2011,43,10/24/2011,10/30/2011,,4,0,0,0,,0,0,0,0,0,0,0,,No Activity
Luxembourg,European Region of WHO,South West Europe,2011,44,10/31/2011,11/6/2011,,3,0,0,0,,0,0,0,0,0,0,0,,No Activity
Luxembourg,European Region of WHO,South West Europe,2011,45,11/7/2011,11/13/2011,,6,0,0,0,,0,0,0,0,0,0,0,,No Activity
Luxembourg,European Region of WHO,South West Europe,2011,46,11/14/2011,11/20/2011,,7,0,0,0,,0,0,0,0,0,0,0,,No Activity
Luxembourg,European Region of WHO,South West Europe,2011,47,11/21/2011,11/27/2011,,7,0,0,0,,0,0,0,0,0,0,0,,No Activity
Luxembourg,European Region of WHO,South West Europe,2011,48,11/28/2011,12/4/2011,,4,0,0,0,,0,0,0,0,0,0,0,,No Activity
Luxembourg,European Region of WHO,South West Europe,2011,49,12/5/2011,12/11/2011,,13,0,0,0,,0,0,0,0,0,0,0,,No Activity
Luxembourg,European Region of WHO,South West Europe,2011,50,12/12/2011,12/18/2011,,8,0,0,1,,0,1,0,0,0,0,1,,Sporadic
Luxembourg,European Region of WHO,South West Europe,2011,51,12/19/2011,12/25/2011,,13,0,0,0,,0,0,0,0,0,0,0,,No Activity
Luxembourg,European Region of WHO,South West Europe,2011,52,12/26/2011,1/1/2012,,2,0,0,0,,0,0,0,0,0,0,0,,No Activity
Luxembourg,European Region of WHO,South West Europe,2012,1,1/2/2012,1/8/2012,,12,0,0,1,,0,1,0,0,0,0,1,,Sporadic
Luxembourg,European Region of WHO,South West Europe,2012,2,1/9/2012,1/15/2012,,17,0,0,4,,0,4,0,0,0,0,4,,Sporadic
Luxembourg,European Region of WHO,South West Europe,2012,3,1/16/2012,1/22/2012,,11,0,0,0,,0,0,0,0,0,0,0,,No Activity
Luxembourg,European Region of WHO,South West Europe,2012,4,1/23/2012,1/29/2012,,16,0,0,0,,1,1,0,0,0,0,1,,Sporadic
Luxembourg,European Region of WHO,South West Europe,2012,5,1/30/2012,2/5/2012,,14,0,0,1,,2,3,0,0,0,0,3,,Sporadic
Luxembourg,European Region of WHO,South West Europe,2012,6,2/6/2012,2/12/2012,,53,0,26,9,,4,39,0,0,20,20,59,,Local Outbreak
Luxembourg,European Region of WHO,South West Europe,2012,7,2/13/2012,2/19/2012,,33,0,0,11,,4,15,0,0,0,0,15,,Regional Outbreak
Luxembourg,European Region of WHO,South West Europe,2012,8,2/20/2012,2/26/2012,,63,0,0,15,,7,22,0,0,2,2,24,,Widespread Outbreak
Luxembourg,European Region of WHO,South West Europe,2012,9,2/27/2012,3/4/2012,,35,0,1,15,,15,31,0,0,1,1,32,,Widespread Outbreak
Luxembourg,European Region of WHO,South West Europe,2012,10,3/5/2012,3/11/2012,,59,0,0,13,,11,24,0,0,0,0,24,,Widespread Outbreak
Luxembourg,European Region of WHO,South West Europe,2012,11,3/12/2012,3/18/2012,,75,0,0,28,,6,34,0,0,3,3,37,,Widespread Outbreak
Luxembourg,European Region of WHO,South West Europe,2012,12,3/19/2012,3/25/2012,,49,0,0,10,,11,21,0,0,0,0,21,,Regional Outbreak
Luxembourg,European Region of WHO,South West Europe,2012,13,3/26/2012,4/1/2012,,27,0,0,8,,1,9,0,0,0,0,9,,Sporadic
Luxembourg,European Region of WHO,South West Europe,2012,14,4/2/2012,4/8/2012,,19,0,0,3,,4,7,0,0,1,1,8,,Sporadic
Luxembourg,European Region of WHO,South West Europe,2012,15,4/9/2012,4/15/2012,,14,0,0,2,,3,5,0,0,1,1,6,,Local Outbreak
Luxembourg,European Region of WHO,South West Europe,2012,16,4/16/2012,4/22/2012,,6,0,0,0,,1,1,0,0,0,0,1,,Local Outbreak
Luxembourg,European Region of WHO,South West Europe,2012,17,4/23/2012,4/29/2012,,7,0,0,0,,0,0,0,0,1,1,1,,Local Outbreak
Luxembourg,European Region of WHO,South West Europe,2012,18,4/30/2012,5/6/2012,,1,0,0,0,,0,0,0,0,0,0,0,,No Activity
Luxembourg,European Region of WHO,South West Europe,2012,19,5/7/2012,5/13/2012,,4,0,0,0,,0,0,0,0,1,1,1,,Local Outbreak
Luxembourg,European Region of WHO,South West Europe,2012,20,5/14/2012,5/20/2012,,3,0,0,0,,0,0,0,0,0,0,0,,No Activity
Luxembourg,European Region of WHO,South West Europe,2012,21,5/21/2012,5/27/2012,,,,,,,,,,,,,,,No Report
Luxembourg,European Region of WHO,South West Europe,2012,22,5/28/2012,6/3/2012,,,,,,,,,,,,,,,No Report
Luxembourg,European Region of WHO,South West Europe,2012,23,6/4/2012,6/10/2012,,,,,,,,,,,,,,,No Report
Luxembourg,European Region of WHO,South West Europe,2012,24,6/11/2012,6/17/2012,,,,,,,,,,,,,,,No Report
Luxembourg,European Region of WHO,South West Europe,2012,25,6/18/2012,6/24/2012,,,,,,,,,,,,,,,No Report
Luxembourg,European Region of WHO,South West Europe,2012,26,6/25/2012,7/1/2012,,,,,,,,,,,,,,,No Report
Luxembourg,European Region of WHO,South West Europe,2012,27,7/2/2012,7/8/2012,,,,,,,,,,,,,,,No Report
Luxembourg,European Region of WHO,South West Europe,2012,28,7/9/2012,7/15/2012,,,,,,,,,,,,,,,No Report
Luxembourg,European Region of WHO,South West Europe,2012,29,7/16/2012,7/22/2012,,,,,,,,,,,,,,,No Report
Luxembourg,European Region of WHO,South West Europe,2012,30,7/23/2012,7/29/2012,,,,,,,,,,,,,,,No Report
Luxembourg,European Region of WHO,South West Europe,2012,31,7/30/2012,8/5/2012,,,,,,,,,,,,,,,No Report
Luxembourg,European Region of WHO,South West Europe,2012,32,8/6/2012,8/12/2012,,,,,,,,,,,,,,,No Report
Luxembourg,European Region of WHO,South West Europe,2012,33,8/13/2012,8/19/2012,,,,,,,,,,,,,,,No Report
Luxembourg,European Region of WHO,South West Europe,2012,34,8/20/2012,8/26/2012,,,,,,,,,,,,,,,No Report
Luxembourg,European Region of WHO,South West Europe,2012,35,8/27/2012,9/2/2012,,,,,,,,,,,,,,,No Report
Luxembourg,European Region of WHO,South West Europe,2012,36,9/3/2012,9/9/2012,,,,,,,,,,,,,,,No Report
Luxembourg,European Region of WHO,South West Europe,2012,37,9/10/2012,9/16/2012,,,,,,,,,,,,,,,No Report
Luxembourg,European Region of WHO,South West Europe,2012,38,9/17/2012,9/23/2012,,,,,,,,,,,,,,,No Report
Luxembourg,European Region of WHO,South West Europe,2012,39,9/24/2012,9/30/2012,,,,,,,,,,,,,,,No Report
Luxembourg,European Region of WHO,South West Europe,2012,40,10/1/2012,10/7/2012,,0,0,0,0,,0,0,0,0,0,0,0,,No Activity
Luxembourg,European Region of WHO,South West Europe,2012,41,10/8/2012,10/14/2012,,0,0,0,0,,0,0,0,0,0,0,0,,No Activity
Luxembourg,European Region of WHO,South West Europe,2012,42,10/15/2012,10/21/2012,,4,0,0,0,,0,0,0,0,0,0,0,,No Activity
Luxembourg,European Region of WHO,South West Europe,2012,43,10/22/2012,10/28/2012,,8,0,0,0,,0,0,0,0,0,0,0,,No Activity
Luxembourg,European Region of WHO,South West Europe,2012,44,10/29/2012,11/4/2012,,11,0,0,0,,0,0,0,0,0,0,0,,No Activity
Luxembourg,European Region of WHO,South West Europe,2012,45,11/5/2012,11/11/2012,,6,0,0,0,,0,0,0,0,0,0,0,,No Activity
Luxembourg,European Region of WHO,South West Europe,2012,46,11/12/2012,11/18/2012,,7,0,0,0,,0,0,0,0,1,1,1,,Sporadic
Luxembourg,European Region of WHO,South West Europe,2012,47,11/19/2012,11/25/2012,,17,0,0,0,,0,0,0,0,0,0,0,,No Activity
Luxembourg,European Region of WHO,South West Europe,2012,48,11/26/2012,12/2/2012,,12,0,0,0,,0,0,0,0,0,0,0,,No Activity
Luxembourg,European Region of WHO,South West Europe,2012,49,12/3/2012,12/9/2012,,18,0,0,0,,0,0,0,0,3,3,3,,Sporadic
Luxembourg,European Region of WHO,South West Europe,2012,50,12/10/2012,12/16/2012,,19,0,0,2,,0,2,0,0,6,6,8,,Sporadic
